,year,state,special,candidateCount,totalVotes,winnerName,winnerParty,winnerVotes,winnerPct,winnerVAll,secondPlaceName,SecondPlaceParty,secondPlaceVotes,secondPlacePct,winnerVSecond,incumbentWinner,incumbentSecond
656,1992,SOUTH DAKOTA,FALSE,4,334495,THOMAS A. DASCHLE,DEMOCRAT,217095,0.649023154,29.80463086,CHARLENE HAAR,REPUBLICAN,108733,0.325066144,32.39570098,TRUE,FALSE
657,1996,SOUTH DAKOTA,FALSE,2,324487,TIM JOHNSON,DEMOCRAT,166533,0.513219328,2.643865548,LARRY PRESSLER,REPUBLICAN,157954,0.486780672,2.643865548,FALSE,TRUE
658,1998,SOUTH DAKOTA,FALSE,3,262111,TOM DASCHLE,DEMOCRAT,162884,0.621431378,24.28627566,RON SCHMIDT,REPUBLICAN,95431,0.364086208,25.73451706,FALSE,FALSE
659,2002,SOUTH DAKOTA,FALSE,3,337501,TIM JOHNSON,DEMOCRAT,167481,0.49623853,-0.752294067,JOHN THUNE,REPUBLICAN,166949,0.494662238,0.157629163,TRUE,FALSE
660,2004,SOUTH DAKOTA,FALSE,2,391188,JOHN THUNE,REPUBLICAN,197848,0.505761935,1.152387088,TOM DASCHLE,DEMOCRAT,193340,0.494238065,1.152387088,FALSE,TRUE
661,2008,SOUTH DAKOTA,FALSE,2,380673,TIM JOHNSON,DEMOCRAT,237889,0.624916923,24.98338469,JOEL DYKSTRA,REPUBLICAN,142784,0.375083077,24.98338469,TRUE,FALSE
662,2014,SOUTH DAKOTA,FALSE,4,279412,MIKE ROUNDS,REPUBLICAN,140741,0.503704207,0.740841481,RICK WEILAND,DEMOCRAT,82456,0.295105436,20.85987717,FALSE,FALSE
663,2016,SOUTH DAKOTA,FALSE,2,369656,JOHN R. THUNE,REPUBLICAN,265516,0.718278616,43.65572316,JAY WILLIAMS,DEMOCRAT,104140,0.281721384,43.65572316,FALSE,FALSE
664,2020,SOUTH DAKOTA,FALSE,2,420219,MIKE ROUNDS,REPUBLICAN,276232,0.657352476,31.47049515,DAN AHLERS,DEMOCRAT,143987,0.342647524,31.47049515,TRUE,FALSE
665,2022,SOUTH DAKOTA,FALSE,3,1,JOHN THUNE,REPUBLICAN,0.7,0.7,40,BRIAN BENGS,DEMOCRAT,0.26,0.26,44,FALSE,FALSE
666,1976,TENNESSEE,FALSE,6,1432046,JAMES R. SASSER,DEMOCRAT,751180,0.524550189,4.910037806,BILL BROCK,REPUBLICAN,673231,0.470118278,5.443191071,FALSE,FALSE
667,1978,TENNESSEE,FALSE,5,1157094,HOWARD H. BAKER,REPUBLICAN,642644,0.555394808,11.07896161,JANE ESKIND,DEMOCRAT,466228,0.402930099,15.2464709,FALSE,FALSE
668,1982,TENNESSEE,FALSE,3,1259785,JIM SASSER,DEMOCRAT,780113,0.619242966,23.84859321,ROBIN BEARD,REPUBLICAN,479642,0.38073322,23.85097457,FALSE,FALSE
669,1984,TENNESSEE,FALSE,4,1648036,ALBERT GORE JR.,DEMOCRAT,1000607,0.607151179,21.43023575,VICTOR ASHE,REPUBLICAN,557016,0.337987762,26.91634163,FALSE,FALSE
670,1988,TENNESSEE,FALSE,4,1567181,JIM SASSER,DEMOCRAT,1020061,0.65088908,30.17781609,BILL ANDERSEN,REPUBLICAN,541033,0.345226876,30.56622049,TRUE,FALSE
671,1990,TENNESSEE,FALSE,5,783922,ALBERT GORE JR.,DEMOCRAT,530898,0.677233194,35.44663882,WILLIAM R. HAWKINS,REPUBLICAN,233703,0.298120221,37.9112973,TRUE,FALSE
672,1994,TENNESSEE,FALSE,6,1480391,BILL FRIST,REPUBLICAN,834226,0.563517341,12.70346821,JIM SASSER,DEMOCRAT,623164,0.420945547,14.25717935,FALSE,TRUE
673,1994,TENNESSEE,TRUE,10,1465862,FRED THOMPSON,REPUBLICAN,885998,0.604421153,20.88423058,JIM COOPER,DEMOCRAT,565930,0.386073177,21.83479755,FALSE,FALSE
674,1996,TENNESSEE,FALSE,8,1778664,FRED THOMPSON,REPUBLICAN,1091554,0.613693199,22.73863979,HOUSTON GORDON,DEMOCRAT,654937,0.368218506,24.54746934,TRUE,FALSE
675,2000,TENNESSEE,FALSE,8,1928613,BILL FRIST,REPUBLICAN,1255444,0.650956931,30.19138624,JEFF CLARK,DEMOCRAT,621152,0.322071872,32.88850588,TRUE,FALSE
676,2002,TENNESSEE,FALSE,9,1642432,LAMAR ALEXANDER,REPUBLICAN,891498,0.542791422,8.5582843,BOB CLEMENT,DEMOCRAT,728232,0.443386393,9.940502864,FALSE,FALSE
677,2006,TENNESSEE,FALSE,11,1833695,BOB CORKER,REPUBLICAN,929911,0.50712414,1.424828011,"HAROLD E. FORD, JR.",DEMOCRAT,879976,0.479892239,2.723190062,FALSE,FALSE
678,2008,TENNESSEE,FALSE,8,2424585,LAMAR ALEXANDER,REPUBLICAN,1579477,0.651442206,30.28844111,ROBERT D. TUKE,DEMOCRAT,767236,0.316440133,33.50020725,TRUE,FALSE
679,2012,TENNESSEE,FALSE,19,2321477,BOB CORKER,REPUBLICAN,1506443,0.648915755,29.78315099,MARK E. CLAYTON,DEMOCRAT,705882,0.304065903,34.48498521,TRUE,FALSE
680,2014,TENNESSEE,FALSE,13,1374065,LAMAR ALEXANDER,REPUBLICAN,850087,0.618665784,23.73315673,GORDON BALL,DEMOCRAT,437848,0.318651592,30.00141915,TRUE,FALSE
681,2018,TENNESSEE,FALSE,8,2243740,MARSHA BLACKBURN,REPUBLICAN,1227483,0.547070071,9.414014101,PHIL BREDESEN,DEMOCRAT,985450,0.439199729,10.78703415,FALSE,FALSE
682,2020,TENNESSEE,FALSE,12,2959761,BILL HAGERTY,REPUBLICAN,1840926,0.621984681,24.3969361,MARQUITA BRADSHAW,DEMOCRAT,1040691,0.351613188,27.03714928,FALSE,FALSE
683,1976,TEXAS,FALSE,4,3874230,LLOYD BENTSEN,DEMOCRAT,2199956,0.567843417,13.56868333,ALAN STEELMAN,REPUBLICAN,1636370,0.422372962,14.54704548,FALSE,FALSE
684,1978,TEXAS,FALSE,5,2312540,JOHN G. TOWER,REPUBLICAN,1151376,0.497883712,-0.423257544,ROBERT KRUEGER,DEMOCRAT,1139149,0.492596452,0.52872599,FALSE,FALSE
685,1982,TEXAS,FALSE,5,3103167,LLOYD BENTSEN,DEMOCRAT,1818223,0.58592496,17.18499198,JIM COLLINS,REPUBLICAN,1256759,0.404992384,18.09325763,TRUE,FALSE
686,1984,TEXAS,FALSE,3,5314178,PHIL GRAMM,REPUBLICAN,3111348,0.585480577,17.09611534,LLOYD DOGGETT,DEMOCRAT,2202557,0.414468051,17.10125254,FALSE,FALSE
687,1988,TEXAS,FALSE,4,5323606,LLOYD BENTSEN,DEMOCRAT,3149806,0.591667753,18.3335506,BEAU BOULTER,REPUBLICAN,2129228,0.399959727,19.17080265,TRUE,FALSE
688,1990,TEXAS,FALSE,4,3822157,PHIL GRAMM,REPUBLICAN,2302357,0.602371122,20.47422437,HUGH PARMER,DEMOCRAT,1429986,0.374130628,22.82404935,TRUE,FALSE
689,1994,TEXAS,FALSE,3,4279940,KAY BAILEY HUTCHISON,REPUBLICAN,2604218,0.608470679,21.6941359,RICHARD FISHER,DEMOCRAT,1639615,0.383092987,22.53776922,FALSE,FALSE
690,1996,TEXAS,FALSE,4,5527441,PHIL GRAMM,REPUBLICAN,3027680,0.547754377,9.550875351,VICTOR M. MORALES,DEMOCRAT,2428776,0.439403333,10.83510435,TRUE,FALSE
691,2000,TEXAS,FALSE,4,6267964,KAY BAILEY HUTCHISON,REPUBLICAN,4078954,0.650762193,30.15243865,GENE KELLY,DEMOCRAT,2025024,0.323075244,32.76869491,TRUE,FALSE
692,2002,TEXAS,FALSE,5,4514012,JOHN CORNYN,REPUBLICAN,2496243,0.552998751,10.59975029,RON KIRK,DEMOCRAT,1955758,0.433263802,11.97349498,FALSE,FALSE
693,2006,TEXAS,FALSE,3,4314663,KAY BAILEY HUTCHISON,REPUBLICAN,2661789,0.616917011,23.38340213,BARBARA ANN RADNOFSKY,DEMOCRAT,1555202,0.360445764,25.6471247,TRUE,FALSE
694,2008,TEXAS,FALSE,3,7912075,JOHN CORNYN,REPUBLICAN,4337469,0.548208782,9.641756429,"RICHARD J. ""RICK"" NORIEGA",DEMOCRAT,3389365,0.428378775,11.98300067,TRUE,FALSE
695,2012,TEXAS,FALSE,4,7864822,TED CRUZ,REPUBLICAN,4440137,0.564556579,12.91131573,PAUL SADLER,DEMOCRAT,3194927,0.406230046,15.8326533,FALSE,FALSE
696,2014,TEXAS,FALSE,5,4648358,JOHN CORNYN,REPUBLICAN,2861531,0.615600391,23.1200781,DAVID M. ALAMEEL,DEMOCRAT,1597387,0.343645434,27.1954957,TRUE,FALSE
697,2018,TEXAS,FALSE,3,8371655,TED CRUZ,REPUBLICAN,4260553,0.508926013,1.785202567,BETO O'ROURKE,DEMOCRAT,4045632,0.48325355,2.567246261,TRUE,FALSE
698,2020,TEXAS,FALSE,5,11144040,JOHN CORNYN,REPUBLICAN,5962983,0.535082699,7.016539783,"MARY ""MJ"" HEGAR",DEMOCRAT,4888764,0.438688662,9.639403663,TRUE,FALSE
699,1976,UTAH,FALSE,4,522108,ORRIN G. HATCH,REPUBLICAN,290221,0.555863921,11.17278417,FRANK E. MOSS,DEMOCRAT,223948,0.428930413,12.6933508,FALSE,FALSE
700,1980,UTAH,FALSE,4,594298,JAKE GARN,REPUBLICAN,437675,0.736457131,47.29142619,DAN BERMAN,DEMOCRAT,151454,0.254845212,48.16119186,FALSE,FALSE
701,1982,UTAH,FALSE,4,530802,ORRIN G. HATCH,REPUBLICAN,309332,0.582763441,16.5526882,TED WILSON,DEMOCRAT,219482,0.413491283,16.9272158,TRUE,FALSE
702,1986,UTAH,FALSE,5,435111,"E. J. ""JAKE"" GARN",REPUBLICAN,314608,0.723052279,44.61045572,CRAIG S. OLIVER,DEMOCRAT,115523,0.265502366,45.75499126,FALSE,FALSE
703,1988,UTAH,FALSE,4,640702,ORRIN G. HATCH,REPUBLICAN,430089,0.671277755,34.25555094,BRIAN H. MOSS,DEMOCRAT,203364,0.317408093,35.38696617,TRUE,FALSE
704,1992,UTAH,FALSE,5,758479,ROBERT F. BENNETT,REPUBLICAN,420069,0.553830759,10.76615173,WAYNE OWENS,DEMOCRAT,301228,0.397147449,15.66833096,FALSE,FALSE
705,1994,UTAH,FALSE,6,519304,ORRIN G. HATCH,REPUBLICAN,357297,0.688030518,37.60610355,PATRICK A. SHEA,DEMOCRAT,146938,0.282951797,40.50787207,TRUE,FALSE
706,1998,UTAH,FALSE,4,494909,ROBERT F. BENNETT,REPUBLICAN,316652,0.639818633,27.96372666,SCOTT LECKMAN,DEMOCRAT,163172,0.329701016,31.01176176,TRUE,FALSE
707,2000,UTAH,FALSE,4,769704,ORRIN G. HATCH,REPUBLICAN,504803,0.655840427,31.16808539,SCOTT N. HOWELL,DEMOCRAT,242569,0.315145822,34.06946047,TRUE,FALSE
708,2004,UTAH,FALSE,5,911726,ROBERT F. BENNETT,REPUBLICAN,626640,0.687311758,37.46235163,R. PAUL VAN DAM,DEMOCRAT,258955,0.284027219,40.32845394,TRUE,FALSE
709,2006,UTAH,FALSE,6,571252,ORRIN G. HATCH,REPUBLICAN,356238,0.623609195,24.72183905,PETE ASHDOWN,DEMOCRAT,177459,0.310649241,31.29599546,TRUE,FALSE
710,2010,UTAH,FALSE,3,585230,MIKE LEE,REPUBLICAN,360403,0.615831383,23.16627651,SAM F. GRANATO,DEMOCRAT,191732,0.327618201,28.82131811,FALSE,FALSE
711,2012,UTAH,FALSE,6,1006901,ORRIN G. HATCH,REPUBLICAN,657608,0.65310095,30.62019007,SCOTT HOWELL,DEMOCRAT,301873,0.299804052,35.32968981,TRUE,FALSE
712,2016,UTAH,FALSE,4,1115583,MIKE LEE,REPUBLICAN,760220,0.681455347,36.29106933,MISTY K. SNOW,DEMOCRAT,301858,0.270583184,41.08721628,TRUE,FALSE
713,2018,UTAH,FALSE,5,1062845,MITT ROMNEY,REPUBLICAN,665215,0.625881478,25.1762957,JENNY WILSON,DEMOCRAT,328541,0.309114687,31.6766791,FALSE,FALSE
714,2022,UTAH,FALSE,3,0.96,MIKE LEE,REPUBLICAN,0.54,0.5625,12.5,,OTHER,0.42,0.4375,12.5,TRUE,FALSE
715,1976,VERMONT,FALSE,4,189060,ROBERT T. STAFFORD,REPUBLICAN,94481,0.499740823,-0.051835396,THOMAS P. SALMON,DEMOCRAT,85682,0.453200042,4.65407807,FALSE,FALSE
716,1980,VERMONT,FALSE,5,209124,PATRICK J. LEAHY,DEMOCRAT,104176,0.498154205,-0.369158968,STEWART M. LEDBETTER,REPUBLICAN,101421,0.484980203,1.317400203,FALSE,FALSE
717,1982,VERMONT,FALSE,7,168002,ROBERT T. STAFFORD,REPUBLICAN,84449,0.502666635,0.533326984,JAMES A. GUEST,DEMOCRAT,79340,0.472256283,3.041035226,TRUE,FALSE
718,1986,VERMONT,FALSE,5,196532,PATRICK LEAHY,DEMOCRAT,124123,0.631566361,26.31327214,DICK SNELLING,REPUBLICAN,67798,0.344971811,28.65945495,FALSE,FALSE
719,1988,VERMONT,FALSE,5,240108,JAMES M. JEFFORDS,REPUBLICAN,163183,0.679623336,35.92466723,BILL GRAY,DEMOCRAT,71460,0.297616073,38.20072634,FALSE,FALSE
720,1992,VERMONT,FALSE,5,285739,PATRICK J. LEAHY,DEMOCRAT,154762,0.54162015,8.324029971,JAMES H. DOUGLAS,REPUBLICAN,123854,0.433451506,10.81686434,FALSE,FALSE
721,1994,VERMONT,FALSE,8,211672,JAMES M. JEFFORDS,REPUBLICAN,106505,0.50316055,0.632110057,JAN BACKUS,DEMOCRAT,85868,0.405665369,9.749518122,TRUE,FALSE
722,1998,VERMONT,FALSE,7,214036,PATRICK J. LEAHY,DEMOCRAT,154567,0.722154217,44.43084341,FRED H. TUTTLE,REPUBLICAN,48051,0.224499617,49.76546002,TRUE,FALSE
723,2000,VERMONT,FALSE,8,288500,JAMES M. JEFFORDS,REPUBLICAN,189133,0.655573657,31.11473137,ED FLANAGAN,DEMOCRAT,73352,0.254253033,40.13206239,TRUE,FALSE
724,2004,VERMONT,FALSE,7,307208,PATRICK J. LEAHY,DEMOCRAT,216972,0.70627067,41.25413401,JACK MCMULLEN,REPUBLICAN,75398,0.245429807,46.08408635,TRUE,FALSE
725,2006,VERMONT,FALSE,7,262419,BERNARD SANDERS,OTHER,171638,0.654060872,30.81217442,RICH TARRANT,REPUBLICAN,84924,0.32361986,33.04410123,FALSE,FALSE
726,2010,VERMONT,FALSE,8,235178,PATRICK J. LEAHY,DEMOCRAT,151281,0.6432617,28.65233993,LEN BRITTON,REPUBLICAN,72699,0.309123302,33.41383973,TRUE,FALSE
727,2012,VERMONT,FALSE,7,292762,BERNARD SANDERS,OTHER,207848,0.709955527,41.9911054,JOHN MACGOVERN,REPUBLICAN,72898,0.249000895,46.09546321,TRUE,FALSE
728,2016,VERMONT,FALSE,8,320467,PATRICK J. LEAHY,DEMOCRAT,192243,0.599883919,19.97678388,SCOTT MILNE,REPUBLICAN,103637,0.323393672,27.6490247,TRUE,FALSE
729,2018,VERMONT,FALSE,10,272624,BERNIE SANDERS,OTHER,183529,0.673194583,34.6389166,LAWRENCE ZUPAN,REPUBLICAN,74663,0.273868038,39.9326545,FALSE,FALSE
730,2022,VERMONT,FALSE,3,0.98,PETER WELCH,DEMOCRAT,0.69,0.704081633,40.81632653,GERALD MALLOY,REPUBLICAN,0.28,0.285714286,41.83673469,FALSE,FALSE
731,1976,VIRGINIA,FALSE,4,1557500,"HARRY F. BYRD, JR.",OTHER,890778,0.57192809,14.38561798,E. R. (BUD) ZUMWALT,DEMOCRAT,596009,0.382670305,18.92577849,FALSE,FALSE
732,1978,VIRGINIA,FALSE,3,1222256,JOHN WILLIAM WARNER,REPUBLICAN,613232,0.501721407,0.344281394,ANDREW P. MILLER,DEMOCRAT,608511,0.497858877,0.386252962,FALSE,FALSE
733,1982,VIRGINIA,FALSE,3,1415622,"PAUL S. TRIBLE, JR.",REPUBLICAN,724571,0.511839319,2.367863738,RICHARD J. (DICK) DAVIS,DEMOCRAT,690839,0.488010924,2.382839487,FALSE,FALSE
734,1984,VIRGINIA,FALSE,3,2007487,JOHN W. WARNER,REPUBLICAN,1406194,0.700474773,40.09495454,"EDYTHE C. ""EDIE"" HARRISON",DEMOCRAT,601142,0.299450009,40.10247638,FALSE,FALSE
735,1988,VIRGINIA,FALSE,3,2068897,CHARLES S. ROBB,DEMOCRAT,1474086,0.712498496,42.49969912,MAURICE A. DAWKINS,REPUBLICAN,593652,0.286941303,42.5557193,FALSE,FALSE
736,1990,VIRGINIA,FALSE,3,1083690,JOHN WARNER,REPUBLICAN,876782,0.80907086,61.81417195,NANCY B. SPANNAUS,OTHER,196755,0.181560225,62.7510635,FALSE,FALSE
737,1994,VIRGINIA,FALSE,5,2057463,CHARLES S. ROBB,DEMOCRAT,938376,0.456084022,-8.783195615,"OLIVER L. ""OLLIE"" NORTH",REPUBLICAN,882213,0.428786812,2.72972102,TRUE,FALSE
738,1996,VIRGINIA,FALSE,3,2354715,JOHN W. WARNER,REPUBLICAN,1235744,0.52479557,4.959113948,MARK R. WARNER,DEMOCRAT,1115982,0.473935062,5.086050753,FALSE,FALSE
739,2000,VIRGINIA,FALSE,3,2718301,GEORGE F. ALLEN,REPUBLICAN,1420460,0.522554346,4.510869105,CHARLES S. ROBB,DEMOCRAT,1296093,0.476802606,4.575173978,FALSE,TRUE
740,2002,VIRGINIA,FALSE,4,1489422,JOHN W. WARNER,REPUBLICAN,1229894,0.82575254,65.15050805,NANCY B. SPANNAUS,OTHER,145102,0.097421684,72.83308559,TRUE,FALSE
741,2006,VIRGINIA,FALSE,4,2370445,"JAMES H. ""JIM"" WEBB, JR.",DEMOCRAT,1175606,0.495943167,-0.811366642,GEORGE ALLEN,REPUBLICAN,1166277,0.492007619,0.393554797,FALSE,FALSE
742,2008,VIRGINIA,FALSE,5,3643294,MARK R. WARNER,DEMOCRAT,2369327,0.650325502,30.06510043,"JAMES S. ""JIM"" GILMORE III",REPUBLICAN,1228830,0.337285435,31.30400676,FALSE,FALSE
743,2012,VIRGINIA,FALSE,3,3802196,TIMOTHY M. KAINE,DEMOCRAT,2010067,0.52865949,5.731898093,GEORGE F. ALLEN,REPUBLICAN,1785542,0.46960809,5.905140082,FALSE,FALSE
744,2014,VIRGINIA,FALSE,4,2184473,MARK R. WARNER,DEMOCRAT,1073667,0.491499323,-1.700135456,ED. W. GILLESPIE,REPUBLICAN,1055940,0.483384322,0.811500073,TRUE,FALSE
745,2018,VIRGINIA,FALSE,4,3351373,TIMOTHY M. KAINE,DEMOCRAT,1910370,0.570026076,14.00521518,COREY A. STEWART,REPUBLICAN,1374313,0.410074617,15.99514587,TRUE,FALSE
746,2020,VIRGINIA,FALSE,3,4405087,MARK R. WARNER,DEMOCRAT,2466500,0.559920837,11.9841674,DANIEL M. GADE,REPUBLICAN,1934199,0.439083042,12.0837795,TRUE,FALSE
747,1976,WASHINGTON,FALSE,6,1491111,HENRY M. JACKSON,DEMOCRAT,1071219,0.718403258,43.68065154,GEORGE M. BROWN,REPUBLICAN,361546,0.242467529,47.59357285,FALSE,FALSE
748,1980,WASHINGTON,FALSE,2,1728369,SLADE GORTON,REPUBLICAN,936317,0.541734433,8.346886573,WARREN G. MAGNUSON,DEMOCRAT,792052,0.458265567,8.346886573,FALSE,FALSE
749,1982,WASHINGTON,FALSE,4,1368476,HENRY M. JACKSON,DEMOCRAT,943655,0.68956635,37.91326994,DOUG JEWETT,REPUBLICAN,332273,0.242805135,44.67612147,TRUE,FALSE
750,1986,WASHINGTON,FALSE,3,1337367,BROCK ADAMS,DEMOCRAT,677471,0.506570747,1.31414937,SLADE GORTON,REPUBLICAN,650931,0.486725783,1.984496402,FALSE,TRUE
751,1988,WASHINGTON,FALSE,2,1848542,SLADE GORTON,REPUBLICAN,944359,0.510866943,2.173388541,MIKE LOWRY,DEMOCRAT,904183,0.489133057,2.173388541,TRUE,FALSE
752,1992,WASHINGTON,FALSE,2,2218802,PATTY MURRAY,DEMOCRAT,1197973,0.539918839,7.983767817,ROD CHANDLER,REPUBLICAN,1020829,0.460081161,7.983767817,FALSE,FALSE
753,1994,WASHINGTON,FALSE,2,1700173,SLADE GORTON,REPUBLICAN,947821,0.557485032,11.49700648,RON SIMS,DEMOCRAT,752352,0.442514968,11.49700648,TRUE,FALSE
754,1998,WASHINGTON,FALSE,2,1888561,PATTY MURRAY,DEMOCRAT,1103184,0.584139988,16.82799761,LINDA SMITH,REPUBLICAN,785377,0.415860012,16.82799761,TRUE,FALSE
755,2000,WASHINGTON,FALSE,3,2461379,MARIA CANTWELL,DEMOCRAT,1199437,0.487302849,-2.539430132,SLADE GORTON,REPUBLICAN,1197208,0.486397259,0.090558992,FALSE,TRUE
756,2004,WASHINGTON,FALSE,4,2818651,PATTY MURRAY,DEMOCRAT,1549708,0.549804853,9.960970691,GEORGE R. NETHERCUTT,REPUBLICAN,1204584,0.427361883,12.24429701,TRUE,FALSE
757,2006,WASHINGTON,FALSE,5,2083734,MARIA CANTWELL,DEMOCRAT,1184659,0.568526981,13.70539618,MIKE MCGAVICK,REPUBLICAN,832106,0.39933408,16.91929008,TRUE,FALSE
758,2010,WASHINGTON,FALSE,2,2511094,PATTY MURRAY,DEMOCRAT,1314930,0.523648258,4.729651698,DINO ROSSI,REPUBLICAN,1196164,0.476351742,4.729651698,TRUE,FALSE
759,2012,WASHINGTON,FALSE,2,3069417,MARIA CANTWELL,DEMOCRAT,1855493,0.604509912,20.90198236,MICHAEL BAUMGARTNER,REPUBLICAN,1213924,0.395490088,20.90198236,TRUE,FALSE
760,2016,WASHINGTON,FALSE,2,3243317,PATTY MURRAY,DEMOCRAT,1913979,0.590130104,18.02602089,CHRIS VANCE,REPUBLICAN,1329338,0.409869896,18.02602089,TRUE,FALSE
761,2018,WASHINGTON,FALSE,2,3086168,MARIA CANTWELL,DEMOCRAT,1803364,0.584337599,16.86751985,SUSAN HUTCHISON,REPUBLICAN,1282804,0.415662401,16.86751985,TRUE,FALSE
762,2022,WASHINGTON,FALSE,3,1,PATTY MURRAY,DEMOCRAT,0.57,0.57,14,TIFFANY SMILEY,REPUBLICAN,0.43,0.43,14,TRUE,FALSE
763,1978,WEST VIRGINIA,FALSE,2,493351,JENNINGS RANDOLPH,DEMOCRAT,249034,0.504780572,0.956114409,ARCH A. MOORE JR. ,REPUBLICAN,244317,0.495219428,0.956114409,FALSE,FALSE
764,1982,WEST VIRGINIA,FALSE,3,565314,ROBERT C. BYRD,DEMOCRAT,387170,0.684876016,36.97520316,CLEVE BENEDICT,REPUBLICAN,173910,0.307634341,37.72416745,FALSE,FALSE
765,1984,WEST VIRGINIA,FALSE,3,722212,JAY ROCKEFELLER,DEMOCRAT,374233,0.518176103,3.635220683,JOHN R. RAESE,REPUBLICAN,344680,0.477255986,4.092011764,FALSE,FALSE
766,1988,WEST VIRGINIA,FALSE,2,634547,ROBERT C. BYRD,DEMOCRAT,410983,0.647679368,29.53587362,M. JAY WOLFE,REPUBLICAN,223564,0.352320632,29.53587362,TRUE,FALSE
767,1990,WEST VIRGINIA,FALSE,2,404305,JOHN D. ROCKEFELLER IV,DEMOCRAT,276234,0.683231719,36.64634373,JOHN YODER,REPUBLICAN,128071,0.316768281,36.64634373,FALSE,FALSE
768,1994,WEST VIRGINIA,FALSE,2,420936,ROBERT C. BYRD,DEMOCRAT,290495,0.690116787,38.02335747,STAN KLOS,REPUBLICAN,130441,0.309883213,38.02335747,TRUE,FALSE
769,1996,WEST VIRGINIA,FALSE,2,595614,JOHN D. ROCKEFELLER IV,DEMOCRAT,456526,0.766479633,53.29592656,BETTY A. BURKS,REPUBLICAN,139088,0.233520367,53.29592656,TRUE,FALSE
770,2000,WEST VIRGINIA,FALSE,3,603477,ROBERT C. BYRD,DEMOCRAT,469215,0.777519276,55.50385516,DAVID T. GALLAHER,REPUBLICAN,121635,0.201556977,57.59622985,TRUE,FALSE
771,2002,WEST VIRGINIA,FALSE,2,436183,JOHN D. ROCKEFELLER IV,DEMOCRAT,275281,0.631113546,26.22270928,JAY WOLFE,REPUBLICAN,160902,0.368886454,26.22270928,TRUE,FALSE
772,2006,WEST VIRGINIA,FALSE,2,206562,ROBERT C. BYRD,DEMOCRAT,159154,0.770490216,54.0980432,JOHN R. RAESE,REPUBLICAN,47408,0.229509784,54.0980432,TRUE,FALSE
773,2008,WEST VIRGINIA,FALSE,4,702308,JOHN D. ROCKEFELLER IV,DEMOCRAT,447560,0.637270257,27.4540515,JAY WOLFE,REPUBLICAN,254629,0.362560301,27.47099563,TRUE,FALSE
774,2010,WEST VIRGINIA,TRUE,4,529948,JOE MANCHIN III,DEMOCRAT,283358,0.534690196,6.938039204,JOHN R. RAESE,REPUBLICAN,230013,0.434029376,10.06608196,FALSE,FALSE
775,2012,WEST VIRGINIA,FALSE,3,660202,JOE MANCHIN III,DEMOCRAT,399898,0.605720673,21.14413467,JOHN R. RAESE,REPUBLICAN,240787,0.364717162,24.1003511,TRUE,FALSE
776,2014,WEST VIRGINIA,FALSE,9,453689,SHELLEY MOORE CAPITO,REPUBLICAN,281820,0.621174417,24.23488337,NATALIE TENNANT,DEMOCRAT,156360,0.344641373,27.65330436,FALSE,FALSE
777,2018,WEST VIRGINIA,FALSE,3,582911,JOE MANCHIN,DEMOCRAT,288808,0.49545814,-0.908371947,PATRICK MORRISEY,REPUBLICAN,269872,0.462972907,3.248523359,FALSE,FALSE
778,2020,WEST VIRGINIA,FALSE,3,778918,SHELLEY MOORE CAPITO,REPUBLICAN,547454,0.702839066,40.5678133,PAULA JEAN SWEARENGIN,DEMOCRAT,210309,0.270001464,43.28376029,TRUE,FALSE
779,1976,WISCONSIN,FALSE,7,1935183,WILLIAM PROXMIRE,DEMOCRAT,1396970,0.72188005,44.37600992,STANLEY YORK,REPUBLICAN,521902,0.26969129,45.21887594,FALSE,FALSE
780,1980,WISCONSIN,FALSE,6,2204202,ROBERT W. KASTEN JR.,REPUBLICAN,1106311,0.501909988,0.381997657,GAYLORD A. NELSON,DEMOCRAT,1065487,0.483389,1.852098855,FALSE,FALSE
781,1982,WISCONSIN,FALSE,5,1544883,WILLIAM PROXMIRE,DEMOCRAT,983311,0.63649545,27.29908996,SCOTT MCCALLUM,REPUBLICAN,527355,0.341355947,29.51395025,TRUE,FALSE
782,1986,WISCONSIN,FALSE,6,1483174,ROBERT W. KASTEN JR.,REPUBLICAN,754573,0.508755547,1.751109445,EDWARD R. GARVEY,DEMOCRAT,702963,0.473958551,3.479699617,TRUE,FALSE
783,1988,WISCONSIN,FALSE,6,2168190,HERBERT H. KOHL,DEMOCRAT,1128625,0.520537868,4.107573598,SUSAN ENGELEITER,REPUBLICAN,1030440,0.475253553,4.528431549,FALSE,FALSE
784,1992,WISCONSIN,FALSE,8,2455124,RUSSELL D. FEINGOLD,DEMOCRAT,1290662,0.52570135,5.140269901,"ROBERT W. KASTEN, JR.",REPUBLICAN,1129599,0.460098553,6.560279644,FALSE,FALSE
785,1994,WISCONSIN,FALSE,4,1565628,HERB KOHL,DEMOCRAT,912662,0.582936687,16.58733748,ROBERT T. WELCH,REPUBLICAN,636989,0.406858462,17.60782255,FALSE,FALSE
786,1998,WISCONSIN,FALSE,6,1760836,RUSSELL D. FEINGOLD,DEMOCRAT,890059,0.50547524,1.095048034,MARK W. NEUMANN,REPUBLICAN,852272,0.484015547,2.145969301,TRUE,FALSE
787,2000,WISCONSIN,FALSE,6,2540083,HERB KOHL,DEMOCRAT,1563238,0.615427921,23.08558421,JOHN GILLESPIE,REPUBLICAN,940744,0.370359551,24.50683698,TRUE,FALSE
